SP2-0734: unknown command beginning "ttile 'Ses..." - rest of line ignored.

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
      5112 5024872             3    8939392 1995                                                                                    
      1044 5023312             3    7301387 1996                                                                                    
      6648 5025304             3   15838332 1996                                                                                    
      4560 5024692             3   74196599 1996                                                                                    
      1020 5023312             3   71954201 1999                                                                                    
      5124 5024872             3    7219752 1999                                                                                    
       888 5023276             3   16738222 2000                                                                                    
      4440 5024620             3    7389298 2004                                                                                    
      1032 5023312             3    7425362 2005                                                                                    
      6624 5025304             3    7219752 2006                                                                                    
      1908 5023540             3   33333333 2007                                                                                    
      6348 5025244             3   12283833 2008                                                                                    
      4416 5024620             3    6373728 2008                                                                                    
      1896 5023540             3    7838294 2009                                                                                    
      4464 5024620             3   11543192 2010                                                                                    
      2820 5023780             3   25254178 2010                                                                                    
      6660 5025304             3    7112783 2010                                                                                    
      1668 5023504             3    7462906 2010                                                                                    
      7092 5025436             3    7453920 2010                                                                                    
      6372 5025244             3   11592038 2010                                                                                    
      5136 5024872             3    8939392 2010                                                                                    
       900 5023276             3    7348383 2010                                                                                    
      4620 5024704             3    3546546 2010                                                                                    
      2808 5023780             3    8433839 2011                                                                                    
      5148 5024872             3   15838332 2011                                                                                    
      1920 5023540             3    7851489 2011                                                                                    
      4452 5024620             3     773983 2011                                                                                    
      6360 5025244             3    8000202 2011                                                                                    
      1932 5023540             3    7124874 2011                                                                                    
      1476 5023444             3    8939302 2011                                                                                    
      7308 5025520             4   20937832 1990                                                                                    
       744 5023216             4    7251874 1990                                                                                    
      5820 5025040             4   11000258 1995                                                                                    
      6276 5025208             4    8382939 1995                                                                                    
      4572 5024692             4   11279546 1996                                                                                    
      4596 5024692             4   32947683 1996                                                                                    
      7320 5025520             4   12312389 1996                                                                                    
      4608 5024692             4   11592038 1996                                                                                    
       756 5023216             4    4839392 1997                                                                                    
      6264 5025172             4    4566784 1998                                                                                    
      7296 5025520             4    7851489 1998                                                                                    
       768 5023216             4    7823172 1999                                                                                    
      4584 5024692             4    7462906 2002                                                                                    
      5856 5025040             4    4566784 2003                                                                                    
      6924 5025376             4    7838294 2004                                                                                    
      5844 5025040             4   11932930 2005                                                                                    
      5832 5025040             4     256418 2008                                                                                    
      5880 5025040             4    2574114 2010                                                                                    
       804 5023216             4     773983 2010                                                                                    
       792 5023216             4    7301387 2010                                                                                    
       780 5023216             4   15838332 2010                                                                                    
      7332 5025520             4   41743122 2010                                                                                    
      6948 5025376             4   15838332 2010                                                                                    
      6312 5025208             4    7453920 2010                                                                                    
      6936 5025376             4   41743122 2010                                                                                    
      6300 5025208             4    2894123 2010                                                                                    
      6288 5025208             4    7897445 2010                                                                                    
      7344 5025520             4    4839392 2011                                                                                    
      5868 5025040             4   12939272 2011                                                                                    
      3492 5023984             5    7829354 1990                                                                                    
      3192 5023888             5   15838332 1992                                                                                    
      5160 5024872             5   11592038 1995                                                                                    
      5196 5024872             5   11279546 1997                                                                                    
      6204 5025148             5    7453920 1998                                                                                    
      3204 5023888             5    7124874 1999                                                                                    
      6192 5025148             5   16738222 1999                                                                                    
      3216 5023888             5    4566784 2000                                                                                    
      2448 5023696             5    8939302 2000                                                                                    
      6180 5025148             5   71259836 2000                                                                                    
      5184 5024872             5    8382939 2002                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
       360 5023120             5    8382939 2005                                                                                    
      5436 5024920             5   12312389 2005                                                                                    
      3480 5023984             5    2574114 2007                                                                                    
      5172 5024872             5    6859236 2009                                                                                    
      6684 5025316             5   11543192 2010                                                                                    
      3228 5023888             5   74196599 2010                                                                                    
      2484 5023696             5    7326263 2010                                                                                    
      2472 5023696             5   11932930 2010                                                                                    
      2460 5023696             5    7839282 2010                                                                                    
       384 5023120             5     773983 2010                                                                                    
      3504 5023984             5    7838294 2010                                                                                    
      5448 5024920             5    7112783 2011                                                                                    
      4128 5024428             5    7839293 2011                                                                                    
       372 5023120             5   71493016 2011                                                                                    
      7356 5025544             5   13929272 2011                                                                                    
      6216 5025148             5   94246322 2011                                                                                    
      6672 5025316             5   11279546 2011                                                                                    
      4140 5024428             5     773983 2011                                                                                    
      2604 5023720             6    4839392 1990                                                                                    
      7200 5025496             6    9262873 1993                                                                                    
      3588 5024020             6    9029648 1993                                                                                    
      2580 5023720             6   11932930 1993                                                                                    
      7212 5025496             6    7395860 1996                                                                                    
      3600 5024020             6    8663873 1996                                                                                    
      3564 5024020             6   15838332 1997                                                                                    
       120 5023024             6    2894123 1997                                                                                    
      2616 5023720             6   71259836 1997                                                                                    
      3672 5024032             6    7348383 1997                                                                                    
      6540 5025268             6    7829354 2001                                                                                    
      3576 5024020             6   11592038 2001                                                                                    
      2592 5023720             6    4568418 2002                                                                                    
      1944 5023540             6   91243322 2004                                                                                    
      3768 5024152             6    7462906 2006                                                                                    
      2748 5023744             6    7851489 2007                                                                                    
      3660 5024032             6    2574114 2008                                                                                    
      3756 5024152             6   13929272 2009                                                                                    
      3648 5024020             6   91243322 2010                                                                                    
      7224 5025496             6    8382939 2010                                                                                    
      3792 5024152             6    7124874 2010                                                                                    
       132 5023024             6    4839392 2010                                                                                    
      5016 5024764             6   11000258 2010                                                                                    
       144 5023024             6   11000258 2010                                                                                    
      7728 5025736             6   11443122 2010                                                                                    
      3780 5024152             6    2574114 2010                                                                                    
      1968 5023540             6    4568418 2011                                                                                    
      5028 5024764             6   11543192 2011                                                                                    
      3636 5024020             6    4839392 2011                                                                                    
      1956 5023540             6    7425362 2011                                                                                    
      3612 5024020             6    2894123 2011                                                                                    
      7704 5025736             6    7326263 2011                                                                                    
      7716 5025736             6   12312389 2011                                                                                    
      6552 5025268             6    2574114 2011                                                                                    
      2760 5023744             6    7301387 2011                                                                                    
      3624 5024020             6    8393920 2011                                                                                    
      7368 5025556             7   11592038 1990                                                                                    
       420 5023120             7    7462906 1992                                                                                    
      6108 5025136             7   33333333 1992                                                                                    
      3804 5024176             7    7829354 1995                                                                                    
       576 5023156             7    7152638 1995                                                                                    
      4044 5024380             7    7251874 1996                                                                                    
      2964 5023828             7   25254178 1996                                                                                    
       600 5023156             7   91243322 1996                                                                                    
      2148 5023600             7    9262873 1997                                                                                    
      4272 5024548             7   22874843 1999                                                                                    
      3828 5024176             7   71259836 1999                                                                                    
      6060 5025112             7   11592038 1999                                                                                    
      1980 5023552             7   12515152 2000                                                                                    
      2364 5023648             7   25254178 2000                                                                                    
      3240 5023900             7   11443122 2000                                                                                    
       408 5023120             7   11443122 2000                                                                                    
      2136 5023600             7    7152638 2001                                                                                    
      2352 5023648             7   13929272 2001                                                                                    
      3840 5024176             7     256418 2002                                                                                    
      7380 5025556             7   11000258 2002                                                                                    
      4260 5024548             7     256418 2002                                                                                    
       588 5023156             7    7839282 2002                                                                                    
      3816 5024176             7   91243322 2003                                                                                    
      1992 5023552             7    2315525 2004                                                                                    
      4248 5024548             7   12283833 2006                                                                                    
      3252 5023900             7    6883822 2007                                                                                    
      2160 5023600             7    8000202 2007                                                                                    
      6120 5025136             7    7425362 2008                                                                                    
      4476 5024632             7    7301387 2008                                                                                    
       396 5023120             7    7453920 2009                                                                                    
      2184 5023600             7    7453920 2010                                                                                    
      6096 5025112             7    7301387 2010                                                                                    
      6084 5025112             7    7301387 2010                                                                                    
      2196 5023600             7     256418 2010                                                                                    
      4068 5024380             7   11929273 2010                                                                                    
      6132 5025136             7   71493016 2010                                                                                    
      4284 5024548             7   12515152 2010                                                                                    
       612 5023156             7   12312389 2010                                                                                    
      3072 5023852             7    2574114 2010                                                                                    
      2172 5023600             7   12515152 2010                                                                                    
      2784 5023768             7    7326263 2010                                                                                    
      3048 5023852             7    8000202 2010                                                                                    
      3000 5023828             7     773983 2011                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      7392 5025556             7    7897445 2011                                                                                    
      6072 5025112             7   41743122 2011                                                                                    
      4488 5024632             7     256418 2011                                                                                    
      2004 5023552             7   11932930 2011                                                                                    
      4056 5024380             7   11443122 2011                                                                                    
      2376 5023648             7    7838294 2011                                                                                    
      2772 5023768             7   94246322 2011                                                                                    
      2796 5023768             7     256418 2011                                                                                    
      2976 5023828             7   71493016 2011                                                                                    
      3084 5023852             7   33333333 2011                                                                                    
      2988 5023828             7    7839293 2011                                                                                    
      3060 5023852             7   12939272 2011                                                                                    
      5640 5024944             8    8382939 1991                                                                                    
      4632 5024716             8   11443122 1993                                                                                    
      5232 5024872             8   16738222 1993                                                                                    
      1692 5023504             8    8393920 1993                                                                                    
      5508 5024932             8    7838294 1994                                                                                    
      3960 5024356             8   16738222 1994                                                                                    
      5244 5024872             8     256418 1995                                                                                    
      1680 5023504             8    7839293 1995                                                                                    
      7752 5025748             8    6883822 1996                                                                                    
      4656 5024716             8   33333333 1996                                                                                    
      1572 5023480             8    7152638 1996                                                                                    
      2328 5023636             8    6859236 1996                                                                                    
      5208 5024872             8    7219752 1997                                                                                    
      5220 5024872             8    6883822 1998                                                                                    
      3852 5024224             8    7829354 2000                                                                                    
      1584 5023480             8    7389298 2002                                                                                    
      5628 5024944             8   15838332 2002                                                                                    
      4296 5024548             8    7453920 2002                                                                                    
      3876 5024224             8    7823172 2003                                                                                    
      5604 5024944             8   32947683 2005                                                                                    
      7740 5025748             8   14244148 2007                                                                                    
      1560 5023480             8    8939302 2008                                                                                    
      1704 5023504             8    3546546 2008                                                                                    
      3864 5024224             8    7838294 2008                                                                                    
      4644 5024716             8    8939302 2009                                                                                    
      5616 5024944             8   16738222 2009                                                                                    
      4680 5024716             8    8393920 2010                                                                                    
      4668 5024716             8    7301387 2010                                                                                    
      5676 5024944             8    7326263 2010                                                                                    
      4308 5024548             8   13929272 2010                                                                                    
      3972 5024356             8    7462906 2010                                                                                    
      3900 5024224             8   20937832 2010                                                                                    
      3888 5024224             8    7326263 2010                                                                                    
      4332 5024548             8    2894123 2010                                                                                    
      5652 5024944             8    7453920 2010                                                                                    
      5556 5024932             8    8939302 2010                                                                                    
      5544 5024932             8    7425362 2010                                                                                    
      5532 5024932             8    2894123 2010                                                                                    
      4320 5024548             8   74196599 2011                                                                                    
      3984 5024356             8    9262873 2011                                                                                    
      5664 5024944             8    8393920 2011                                                                                    
      7764 5025748             8    4568418 2011                                                                                    
      2340 5023636             8   71259836 2011                                                                                    
      5520 5024932             8    7395860 2011                                                                                    
      4692 5024716             8   71259836 2011                                                                                    
      2952 5023816             9   25254178 1990                                                                                    
      7260 5025496             9    8000202 1993                                                                                    
      1236 5023372             9   74196599 1993                                                                                    
      2940 5023816             9    7112783 1994                                                                                    
      2928 5023816             9    8000202 1995                                                                                    
       324 5023096             9    3546546 1995                                                                                    
      4704 5024716             9   22874843 1997                                                                                    
      5952 5025088             9    8433839 1997                                                                                    
      5988 5025088             9    7124874 1997                                                                                    
      6888 5025364             9   11543192 1997                                                                                    
       312 5023096             9   91243322 1998                                                                                    
      6876 5025364             9    9029648 1998                                                                                    
      7248 5025496             9    2315525 1998                                                                                    
      2388 5023660             9   71259836 1998                                                                                    
      6864 5025364             9   11932930 1999                                                                                    
      1332 5023384             9    8939392 2000                                                                                    
      1320 5023384             9    7897445 2001                                                                                    
      7272 5025496             9    7823172 2002                                                                                    
      5400 5024908             9    2315525 2003                                                                                    
      1248 5023372             9   94246322 2004                                                                                    
      3684 5024056             9    7124874 2006                                                                                    
      6900 5025364             9    7462906 2006                                                                                    
      7236 5025496             9    2894123 2007                                                                                    
      5964 5025088             9   74196599 2007                                                                                    
       336 5023096             9    4839392 2007                                                                                    
      1260 5023372             9   11543192 2008                                                                                    
      5976 5025088             9   11279546 2008                                                                                    
      2412 5023660             9    3546546 2008                                                                                    
      2400 5023660             9    2894123 2008                                                                                    
      1356 5023384             9   11279546 2010                                                                                    
      2436 5023660             9    7462906 2010                                                                                    
       348 5023096             9    2574114 2010                                                                                    
       816 5023240             9    7462906 2010                                                                                    
      1272 5023372             9    2315525 2010                                                                                    
      1296 5023372             9    7395860 2010                                                                                    
      6024 5025088             9   20937832 2011                                                                                    
      6012 5025088             9   33333333 2011                                                                                    
      6000 5025088             9   12312389 2011                                                                                    
      5424 5024908             9    8939392 2011                                                                                    
      5412 5024908             9    6883822 2011                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      2424 5023660             9    7823172 2011                                                                                    
      1368 5023384             9   22874843 2011                                                                                    
      1344 5023384             9    8939392 2011                                                                                    
      1308 5023372             9    7823172 2011                                                                                    
      1284 5023372             9   71493016 2011                                                                                    
      7284 5025496             9   11543192 2011                                                                                    
      6912 5025364             9   32947683 2011                                                                                    
      3384 5023972            10     773983 1990                                                                                    
      1392 5023384            10    7839293 1990                                                                                    
      1428 5023396            10    4566784 1990                                                                                    
       504 5023144            10   14244148 1992                                                                                    
      3360 5023972            10    7839293 1993                                                                                    
      6576 5025280            10   11443122 1996                                                                                    
      3396 5023972            10    7124874 1996                                                                                    
      6564 5025280            10    6859236 1997                                                                                    
      1404 5023396            10   32947683 2002                                                                                    
      3372 5023972            10    8939302 2003                                                                                    
      1416 5023396            10    7823172 2006                                                                                    
       492 5023144            10   13929272 2006                                                                                    
      1380 5023384            10    4566784 2008                                                                                    
      2496 5023708            10   74196599 2008                                                                                    
       528 5023144            10    7124874 2010                                                                                    
       516 5023144            10    7326263 2010                                                                                    
      2508 5023708            10    7124874 2010                                                                                    
      3744 5024116            10    8000202 2011                                                                                    
      3024 5023840            10   13929272 2011                                                                                    
      1452 5023396            10    7112783 2011                                                                                    
      1440 5023396            10   11592038 2011                                                                                    
      3036 5023840            10    9029648 2011                                                                                    
      5904 5025052            11    7112783 1990                                                                                    
      7848 5025772            11   91243322 1991                                                                                    
      7860 5025772            11   32947683 1991                                                                                    
      4932 5024752            11    7251874 1991                                                                                    
      6804 5025352            11    5235323 1991                                                                                    
      5076 5024776            11    2574114 1992                                                                                    
       948 5023300            11    7838294 1992                                                                                    
      7788 5025760            11    8382939 1992                                                                                    
       624 5023168            11    7348383 1995                                                                                    
       972 5023300            11   23435455 1996                                                                                    
       984 5023300            11   14244148 1996                                                                                    
      5916 5025052            11    7251874 1996                                                                                    
      7428 5025604            11   12515152 1996                                                                                    
       180 5023048            11   22874843 1996                                                                                    
      2652 5023720            11    7829354 1997                                                                                    
      7812 5025760            11    6883822 1997                                                                                    
      4908 5024752            11    8939302 1999                                                                                    
       192 5023048            11   22874843 1999                                                                                    
      7776 5025760            11    7838294 2000                                                                                    
      5064 5024776            11    7395860 2001                                                                                    
      6792 5025352            11    6883822 2001                                                                                    
      5040 5024776            11    7829354 2002                                                                                    
      7872 5025772            11    7425362 2003                                                                                    
      7800 5025760            11    7851489 2004                                                                                    
      5892 5025052            11    9262873 2004                                                                                    
      5052 5024776            11   94246322 2005                                                                                    
      4920 5024752            11    6859236 2005                                                                                    
      2640 5023720            11    7462906 2006                                                                                    
      6780 5025352            11    4566784 2008                                                                                    
      2628 5023720            11   20937832 2008                                                                                    
       168 5023048            11    7897445 2008                                                                                    
       960 5023300            11   25254178 2008                                                                                    
      4980 5024752            11    8663873 2010                                                                                    
      4944 5024752            11    7124874 2010                                                                                    
      2688 5023720            11    7839293 2010                                                                                    
      2676 5023720            11    7348383 2010                                                                                    
      2664 5023720            11    7897445 2010                                                                                    
      6816 5025352            11   13929272 2010                                                                                    
       996 5023300            11    7326263 2010                                                                                    
       672 5023168            11     773983 2010                                                                                    
       648 5023168            11    7395860 2010                                                                                    
       216 5023048            11   13929272 2010                                                                                    
      7836 5025760            11    8393920 2010                                                                                    
      7824 5025760            11   71954201 2010                                                                                    
      7464 5025604            11   74196599 2010                                                                                    
      7452 5025604            11   12515152 2010                                                                                    
      1008 5023300            11    6883822 2010                                                                                    
      5100 5024776            11   22874843 2010                                                                                    
      2856 5023792            11    3546546 2011                                                                                    
      5088 5024776            11    7838294 2011                                                                                    
      7440 5025604            11    7152638 2011                                                                                    
      2844 5023792            11   25254178 2011                                                                                    
      4968 5024752            11   71493016 2011                                                                                    
       660 5023168            11    4839392 2011                                                                                    
       636 5023168            11   91243322 2011                                                                                    
       204 5023048            11    7348383 2011                                                                                    
      4956 5024752            11   11000258 2011                                                                                    
      2832 5023792            11   12312389 2011                                                                                    
      3420 5023972            12   11932930 1990                                                                                    
      5460 5024920            12   94246322 1991                                                                                    
      7668 5025724            12   11443122 1992                                                                                    
      5580 5024932            12    6883822 1992                                                                                    
      7152 5025472            12   11543192 1993                                                                                    
      7680 5025724            12   13929272 1993                                                                                    
      7164 5025472            12   74196599 1993                                                                                    
      2520 5023708            12    8000202 1994                                                                                    
      6960 5025376            12    6859236 1994                                                                                    
      4728 5024728            12    9262873 1995                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      3444 5023972            12    8393920 1996                                                                                    
      5568 5024932            12    8382939 1996                                                                                    
      7128 5025472            12    8939392 1997                                                                                    
      6972 5025376            12    9262873 1997                                                                                    
      4356 5024560            12    4568418 1997                                                                                    
      5484 5024920            12   11000258 1999                                                                                    
      5472 5024920            12    7219752 1999                                                                                    
      2532 5023708            12    8382939 2000                                                                                    
      3696 5024104            12   32947683 2000                                                                                    
      5928 5025076            12   12515152 2000                                                                                    
      3432 5023972            12    8382939 2000                                                                                    
      5940 5025076            12   12283833 2001                                                                                    
      2556 5023708            12    7389298 2001                                                                                    
      2544 5023708            12    8433839 2002                                                                                    
      8040 5025820            12    7453920 2003                                                                                    
      3708 5024104            12   20937832 2003                                                                                    
      7656 5025724            12   22874843 2003                                                                                    
      4716 5024728            12    7112783 2004                                                                                    
      7692 5025724            12    6883822 2004                                                                                    
      1080 5023312            12    7348383 2004                                                                                    
      6984 5025376            12    8433839 2004                                                                                    
      8028 5025820            12   20937832 2004                                                                                    
      7140 5025472            12    7301387 2005                                                                                    
      3408 5023972            12    2894123 2006                                                                                    
      4344 5024560            12    7462906 2006                                                                                    
      1068 5023312            12    8393920 2007                                                                                    
      1092 5023312            12   71954201 2007                                                                                    
      6444 5025256            12   74196599 2007                                                                                    
      3468 5023972            12   71954201 2010                                                                                    
      3456 5023972            12   11443122 2010                                                                                    
      8064 5025820            12    8000202 2010                                                                                    
      2568 5023708            12    9029648 2010                                                                                    
      6468 5025256            12    8663873 2010                                                                                    
      1116 5023312            12   94246322 2010                                                                                    
      3732 5024104            12   71954201 2010                                                                                    
      6456 5025256            12   71259836 2010                                                                                    
      5592 5024932            12   11929273 2010                                                                                    
      7176 5025472            12   12939272 2010                                                                                    
      7188 5025472            12   15838332 2010                                                                                    
      4752 5024728            12    6883822 2010                                                                                    
      8076 5025820            12   11929273 2011                                                                                    
      6996 5025376            12    7432653 2011                                                                                    
      1140 5023312            12    5235323 2011                                                                                    
      5496 5024920            12    8433839 2011                                                                                    
      2208 5023600            12    7829354 2011                                                                                    
      1104 5023312            12    7823172 2011                                                                                    
      4764 5024728            12    7112783 2011                                                                                    
      1128 5023312            12   71493016 2011                                                                                    
      4740 5024728            12   23435455 2011                                                                                    
      8052 5025820            12   11932930 2011                                                                                    
      3720 5024104            12    5235323 2011                                                                                    
      7008 5025376            12    2894123 2011                                                                                    
      5268 5024896            13    7897445 1990                                                                                    
      1836 5023516            13    7432653 1991                                                                                    
      1824 5023516            13    6883822 1991                                                                                    
       840 5023252            13    7838294 1992                                                                                    
      4884 5024740            13   33333333 1992                                                                                    
       828 5023252            13   15838332 1993                                                                                    
      7620 5025664            13    4839392 1994                                                                                    
      1608 5023480            13   12515152 1994                                                                                    
      2232 5023600            13    2894123 1995                                                                                    
      7020 5025388            13    7389298 1996                                                                                    
       228 5023048            13   12515152 1997                                                                                    
      7032 5025388            13   11279546 1997                                                                                    
      1596 5023480            13    8433839 1998                                                                                    
       852 5023252            13    8433839 2001                                                                                    
       864 5023252            13   94246322 2001                                                                                    
      5280 5024896            13   32947683 2002                                                                                    
      1848 5023516            13    7462906 2003                                                                                    
      5292 5024896            13    7897445 2004                                                                                    
      1812 5023516            13   74196599 2007                                                                                    
      4872 5024740            13   13929272 2008                                                                                    
       240 5023048            13   91243322 2008                                                                                    
      2220 5023600            13    7326263 2009                                                                                    
      7632 5025664            13    7425362 2010                                                                                    
      1632 5023480            13    7823172 2010                                                                                    
       252 5023048            13    7851489 2010                                                                                    
      5004 5024752            13    7348383 2010                                                                                    
      4992 5024752            13   11592038 2010                                                                                    
      4896 5024740            13    7823172 2010                                                                                    
      7044 5025388            13    7425362 2010                                                                                    
      3012 5023828            13   11000258 2010                                                                                    
      2904 5023804            13   94246322 2010                                                                                    
      2892 5023804            13    5235323 2010                                                                                    
      2256 5023600            13    7462906 2010                                                                                    
      1860 5023516            13   91243322 2010                                                                                    
      5304 5024896            13    8382939 2011                                                                                    
      7644 5025664            13    3546546 2011                                                                                    
      2880 5023804            13   20937832 2011                                                                                    
      1620 5023480            13   16738222 2011                                                                                    
      2244 5023600            13    7823172 2011                                                                                    
       876 5023252            13    7348383 2011                                                                                    
      7068 5025388            13    7152638 2011                                                                                    
      1884 5023516            13   11279546 2011                                                                                    
      1872 5023516            13    7851489 2011                                                                                    
      2916 5023804            13    7432653 2011                                                                                    
      7056 5025388            13     773983 2011                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      4812 5024728            14   14244148 1991                                                                                    
      4368 5024596            14    6883822 1992                                                                                    
      6036 5025100            14   15838332 1993                                                                                    
      2700 5023732            14   91243322 1993                                                                                    
      4788 5024728            14   33333333 1994                                                                                    
      4800 5024728            14   20937832 1995                                                                                    
       444 5023132            14   23435455 1996                                                                                    
